treatment,Uvlevel,Survival
Light,24,26.43
Light,24,16.36
Light,24,22.26
Light,24,64
Light,48,5.71
Light,48,4.545
Light,48,4.11
Light,48,26
Light,96,0.5
Light,96,1.23
Light,96,0.132
Light,96,13
Light,144,1
Light,144,0.364
Light,144,0.03
Light,144,2.3
Dark,24,32.8
Dark,24,6.923
Dark,24,20
Dark,24,36
Dark,48,7.6
Dark,48,1.538
Dark,48,2.5
Dark,48,32
Dark,96,0.44
Dark,96,0.462
Dark,96,0.108
Dark,96,8.4
Dark,144,0.112
Dark,144,0.138
Dark,144,0.011
Dark,144,1.6
